time,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z
0.000000000000000000e+00,2.820807766339398781e-01,-1.317421771274832065e-01,9.653366532379402676e-01,-4.517159284799703300e-01,-1.317421835192493229e-01,9.653360447721563986e-01
1.000000000000000021e-02,2.820807036221488762e-01,-1.316214824990067367e-01,9.653366356485998390e-01,-4.517160014400286028e-01,-1.316214885857351913e-01,9.653360271641028278e-01
2.000000000000000042e-02,2.820806327668152758e-01,-1.312622905730392309e-01,9.653366234181166572e-01,-4.517160722506324833e-01,-1.312622964537880077e-01,9.653360148865482993e-01
2.999999999999999889e-02,2.820805639716631452e-01,-1.306688207660322565e-01,9.653366166356301958e-01,-4.517161410069831518e-01,-1.306688264797313259e-01,9.653360080597634951e-01
4.000000000000000083e-02,2.820804971993942090e-01,-1.298452936037490790e-01,9.653366147856669022e-01,-4.517162077458648506e-01,-1.298452991646253385e-01,9.653360061795756009e-01
5.000000000000000278e-02,2.820804324444561861e-01,-1.287959300444441735e-01,9.653366171979546051e-01,-4.517162724724055334e-01,-1.287959354562300818e-01,9.653360085786621969e-01
5.999999999999999778e-02,2.820803697118156594e-01,-1.275249512144442099e-01,9.653366232114212186e-01,-4.517163351811875893e-01,-1.275249564765973120e-01,9.653360145955903748e-01
7.000000000000000666e-02,2.820803090058764950e-01,-1.260365783062382672e-01,9.653366322283348788e-01,-4.517163958673293678e-01,-1.260365834166213284e-01,9.653360236311079312e-01
8.000000000000000167e-02,2.820802503253639903e-01,-1.243350325391004568e-01,9.653366437268988687e-01,-4.517164545316292856e-01,-1.243350374951276427e-01,9.653360351616047108e-01
8.999999999999999667e-02,2.820801936614459327e-01,-1.224245351437803636e-01,9.653366572587579464e-01,-4.517165111824650303e-01,-1.224245399429024078e-01,9.653360487369534448e-01
1.000000000000000056e-01,2.820801389974982865e-01,-1.203093073564644178e-01,9.653366724416319045e-01,-4.517165658360441371e-01,-1.203093119963743601e-01,9.653360639732561088e-01
1.100000000000000006e-01,2.820800863096437627e-01,-1.179935704163207616e-01,9.653366889509423787e-01,-4.517166185158683622e-01,-1.179935748950345920e-01,9.653360805444968218e-01
1.199999999999999956e-01,2.820800355676106319e-01,-1.154815455644318534e-01,9.653367065118318990e-01,-4.517166692518775895e-01,-1.154815498803200557e-01,9.653360981745520153e-01
1.300000000000000044e-01,2.820799867356820756e-01,-1.127774540432824185e-01,9.653367248920186050e-01,-4.517167180794977588e-01,-1.127774581950736627e-01,9.653361166300297169e-01
1.400000000000000133e-01,2.820799397736251102e-01,-1.098855170964702782e-01,9.653367438955617885e-01,-4.517167650387072242e-01,-1.098855210832443419e-01,9.653361357140156640e-01
1.499999999999999944e-01,2.820798946375529526e-01,-1.068099559685173477e-01,9.653367633574916340e-01,-4.517168101731719454e-01,-1.068099597896920022e-01,9.653361552606872786e-01
1.600000000000000033e-01,2.820798512807002334e-01,-1.035549919047298317e-01,9.653367831392052345e-01,-4.517168535294651677e-01,-1.035549955600426897e-01,9.653361751306913652e-01
1.700000000000000122e-01,2.820798096541093369e-01,-1.001248461510871463e-01,9.653368031245301850e-01,-4.517168951563781398e-01,-1.001248496405768712e-01,9.653361952071981555e-01
1.799999999999999933e-01,2.820797697072304766e-01,-9.652373995414958996e-02,9.653368232163672680e-01,-4.517169351043171521e-01,-9.652374327813502408e-02,9.653362153925297839e-01
1.900000000000000022e-01,2.820797313884414459e-01,-9.275589456098166929e-02,9.653368433338241905e-01,-4.517169734247798440e-01,-9.275589772004090572e-02,9.653362356052852533e-01
2.000000000000000111e-01,2.820796946454938170e-01,-8.882553121908527693e-02,9.653368634097724277e-01,-4.517170101699071738e-01,-8.882553421403535654e-02,9.653362557778893960e-01
2.099999999999999922e-01,2.820796594258965229e-01,-8.473687117634604027e-02,9.653368833887646661e-01,-4.517170453920972273e-01,-8.473687400822112192e-02,9.653362758545004363e-01
2.200000000000000011e-01,2.820796256772400423e-01,-8.049413568098241767e-02,9.653369032252586690e-01,-4.517170791436794230e-01,-8.049413835101572323e-02,9.653362957892317464e-01
2.300000000000000100e-01,2.820795933474704031e-01,-7.610154598150845051e-02,9.653369228821054859e-01,-4.517171114766395101e-01,-7.610154849111146202e-02,9.653363155446296195e-01
2.399999999999999911e-01,2.820795623851174438e-01,-7.156332332669639029e-02,9.653369423292603724e-01,-4.517171424423885306e-01,-7.156332567744189133e-02,9.653363350903813034e-01
2.500000000000000000e-01,2.820795327394839402e-01,-6.688368896554698628e-02,9.653369615426823369e-01,-4.517171720915724165e-01,-6.688369115915272778e-02,9.653363544022135478e-01
2.600000000000000089e-01,2.820795043608026464e-01,-6.206686414726693413e-02,9.653369805034026641e-01,-4.517172004739160585e-01,-6.206686618557734347e-02,9.653363734609505808e-01
2.700000000000000178e-01,2.820794772003600293e-01,-5.711707012124279947e-02,9.653369991967259978e-01,-4.517172276380957974e-01,-5.711707200621669867e-02,9.653363922517183005e-01
2.800000000000000266e-01,2.820794512105962992e-01,-5.203852813702516955e-02,9.653370176115532164e-01,-4.517172536316400033e-01,-5.203852987072066227e-02,9.653364107632597113e-01
2.899999999999999800e-01,2.820794263451827932e-01,-4.683545944431088959e-02,9.653370357398050050e-01,-4.517172785008509717e-01,-4.683546102887321816e-02,9.653364289873593851e-01
2.999999999999999889e-01,2.820794025590795395e-01,-4.151208529293085037e-02,9.653370535759312476e-01,-4.517173022907458035e-01,-4.151208673058007226e-02,9.653364469183470797e-01
3.099999999999999978e-01,2.820793798085772797e-01,-3.607262693283565247e-02,9.653370711164934725e-01,-4.517173250450154942e-01,-3.607262822585702300e-02,9.653364645526811838e-01
3.200000000000000067e-01,2.820793580513246690e-01,-3.052130561408770981e-02,9.653370883598129115e-01,-4.517173468059957897e-01,-3.052130676482117666e-02,9.653364818885943333e-01
3.300000000000000155e-01,2.820793372463425985e-01,-2.486234258685136866e-02,9.653371053056674089e-01,-4.517173676146526429e-01,-2.486234359768228763e-02,9.653364989257862128e-01
3.400000000000000244e-01,2.820793173540306897e-01,-1.909995910138406749e-02,9.653371219550361815e-01,-4.517173875105763847e-01,-1.909995997473647178e-02,9.653365156651720902e-01
3.500000000000000333e-01,2.820792983361631312e-01,-1.323837640803121607e-02,9.653371383098858782e-01,-4.517174065319836673e-01,-1.323837714635917040e-02,9.653365321086614381e-01
3.599999999999999867e-01,2.820792801558789087e-01,-7.281815757220297392e-03,9.653371543729862836e-01,-4.517174247157292322e-01,-7.281816363001278325e-03,9.653365482589767455e-01
3.699999999999999956e-01,2.820792627776634864e-01,-1.234498399453942685e-03,9.653371701477541089e-01,-4.517174420973220639e-01,-1.234498875184036892e-03,9.653365641194968649e-01
3.800000000000000044e-01,2.820792461673296003e-01,4.899354414691803328e-03,9.653371856381254279e-01,-4.517174587109455963e-01,4.899354066505212657e-03,9.653365796941235644e-01
3.900000000000000133e-01,2.820792302919901129e-01,1.111552143457401887e-02,9.653372008484403244e-01,-4.517174745894838583e-01,1.111552121141509697e-02,9.653365949871723917e-01
4.000000000000000222e-01,2.820792151200309794e-01,1.740978140948444552e-02,9.653372157833557399e-01,-4.517174897645488407e-01,1.740978130883508168e-02,9.653366100032786390e-01
4.100000000000000311e-01,2.820792006210793290e-01,2.377791308865311037e-02,9.653372304477642052e-01,-4.517175042665122486e-01,2.377791310799617919e-02,9.653366247473189610e-01
4.199999999999999845e-01,2.820791867659703800e-01,3.021569522125161500e-02,9.653372448467280043e-01,-4.517175181245382531e-01,3.021569535807452911e-02,9.653366392243440952e-01
4.299999999999999933e-01,2.820791735267139111e-01,3.671890655639456491e-02,9.653372589854257724e-01,-4.517175313666177416e-01,3.671890680819291097e-02,9.653366534395253495e-01
4.400000000000000022e-01,2.820791608764579017e-01,4.328332584314217857e-02,9.653372728691068660e-01,-4.517175440196030123e-01,4.328332620742197934e-02,9.653366673981073065e-01
4.500000000000000111e-01,2.820791487894532268e-01,4.990473183050270212e-02,9.653372865030536154e-01,-4.517175561092438563e-01,4.990473230478360833e-02,9.653366811053709640e-01
4.600000000000000200e-01,2.820791372410173525e-01,5.657890326743336695e-02,9.653372998925485726e-01,-4.517175676602240841e-01,5.657890384925035043e-02,9.653366945666010945e-01
4.700000000000000289e-01,2.820791262074975880e-01,6.330161890284159709e-02,9.653373130428514193e-01,-4.517175786961982187e-01,6.330161958974800385e-02,9.653367077870605995e-01
