time,x_error_mm,y_error_mm,z_error_mm
0.000000000000000000e+00,1.920514645195468688e+02,1.502439097864838402e+01,1.780036089285341916e+01
1.000000000000000021e-02,1.920514646486615220e+02,1.502439131822075424e+01,1.780035723149076077e+01
2.000000000000000042e-02,1.920514650383763637e+02,1.502439169113417528e+01,1.780035294448545358e+01
2.999999999999999889e-02,1.920514655309622754e+02,1.502439204747818557e+01,1.780034868114033131e+01
4.000000000000000083e-02,1.920514660283213573e+02,1.502439236027180947e+01,1.780034482314707489e+01
5.000000000000000278e-02,1.920514664758918855e+02,1.502439261842697427e+01,1.780034155522447392e+01
5.999999999999999778e-02,1.920514668489792314e+02,1.502439282103801332e+01,1.780033892822618924e+01
7.000000000000000666e-02,1.920514671419652473e+02,1.502439297306545996e+01,1.780033691020188513e+01
8.000000000000000167e-02,1.920514673603021549e+02,1.502439308228009551e+01,1.780033542462244966e+01
8.999999999999999667e-02,1.920514675149192385e+02,1.502439315724846125e+01,1.780033437697958831e+01
1.000000000000000056e-01,1.920514676185669316e+02,1.502439320611936857e+01,1.780033367184596926e+01
1.100000000000000006e-01,1.920514676836208707e+02,1.502439323598675536e+01,1.780033322268181806e+01
1.199999999999999956e-01,1.920514677209237675e+02,1.502439325264348646e+01,1.780033295648841829e+01
1.300000000000000044e-01,1.920514677393195768e+02,1.502439326057736224e+01,1.780033281506343457e+01
1.400000000000000133e-01,1.920514677456157813e+02,1.502439326310339673e+01,1.780033275421200045e+01
1.499999999999999944e-01,1.920514677447835936e+02,1.502439326255705687e+01,1.780033274189118941e+01
1.600000000000000033e-01,1.920514677402643997e+02,1.502439326050147805e+01,1.780033275594894349e+01
1.700000000000000122e-01,1.920514677343018093e+02,1.502439325792087566e+01,1.780033278187176293e+01
1.799999999999999933e-01,1.920514677282513105e+02,1.502439325538573733e+01,1.780033281076665119e+01
1.900000000000000022e-01,1.920514677228435971e+02,1.502439325318560748e+01,1.780033283768123198e+01
2.000000000000000111e-01,1.920514677183945196e+02,1.502439325143051185e+01,1.780033286028415063e+01
2.099999999999999922e-01,1.920514677149636213e+02,1.502439325012405646e+01,1.780033287787896512e+01
2.200000000000000011e-01,1.920514677124673142e+02,1.502439324921422958e+01,1.780033289070182079e+01
2.300000000000000100e-01,1.920514677107548778e+02,1.502439324862581138e+01,1.780033289944726960e+01
2.399999999999999911e-01,1.920514677096569756e+02,1.502439324828064215e+01,1.780033290496852061e+01
2.500000000000000000e-01,1.920514677090133375e+02,1.502439324810817034e+01,1.780033290810056812e+01
2.600000000000000089e-01,1.920514677086867437e+02,1.502439324805015985e+01,1.780033290957106118e+01
2.700000000000000178e-01,1.920514677085678557e+02,1.502439324806198506e+01,1.780033290996396644e+01
2.800000000000000266e-01,1.920514677085745063e+02,1.502439324811111199e+01,1.780033290971982751e+01
2.899999999999999800e-01,1.920514677086483459e+02,1.502439324817594901e+01,1.780033290915061883e+01
2.999999999999999889e-01,1.920514677087503230e+02,1.502439324824250733e+01,1.780033290846261451e+01
3.099999999999999978e-01,1.920514677088563928e+02,1.502439324830301359e+01,1.780033290778249011e+01
3.200000000000000067e-01,1.920514677089529698e+02,1.502439324835386181e+01,1.780033290717874905e+01
3.300000000000000155e-01,1.920514677090338580e+02,1.502439324839410872e+01,1.780033290668070478e+01
3.400000000000000244e-01,1.920514677090973237e+02,1.502439324842430679e+01,1.780033290629334886e+01
3.500000000000000333e-01,1.920514677091445321e+02,1.502439324844590018e+01,1.780033290600713158e+01
3.599999999999999867e-01,1.920514677091777003e+02,1.502439324846049828e+01,1.780033290580651339e+01
3.699999999999999956e-01,1.920514677091996418e+02,1.502439324846976909e+01,1.780033290567340032e+01
3.800000000000000044e-01,1.920514677092132274e+02,1.502439324847521007e+01,1.780033290559135395e+01
3.900000000000000133e-01,1.920514677092207023e+02,1.502439324847798474e+01,1.780033290554527881e+01
4.000000000000000222e-01,1.920514677092241698e+02,1.502439324847915003e+01,1.780033290552340830e+01
4.100000000000000311e-01,1.920514677092250793e+02,1.502439324847920687e+01,1.780033290551708092e+01
4.199999999999999845e-01,1.920514677092245677e+02,1.502439324847870594e+01,1.780033290551952163e+01
4.299999999999999933e-01,1.920514677092232887e+02,1.502439324847798474e+01,1.780033290552640679e+01
