time,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
0.000000000000000000e+00,-7.707788850581224517e-03,-7.917548696209535716e-04,-7.976875864154312368e-04,-8.086869565516041766e-04,7.439369804576383095e-04,6.058588634038183006e-09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-7.707707316188945959e-03,-7.915511698658590474e-04,-7.977810693312931047e-04,-8.088799257159817128e-04,7.441142253975846412e-04,-1.360343352836155522e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-7.707633699431583156e-03,-7.913567089901963085e-04,-7.978650205323954778e-04,-8.090433550715253087e-04,7.442653614403232313e-04,-3.021196700333002951e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,-7.707563959934316672e-03,-7.911708717057563001e-04,-7.979402482776601704e-04,-8.091816929959878141e-04,7.443942029532969653e-04,-4.422211902783393154e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-7.707496494904924646e-03,-7.909932060932246605e-04,-7.980075316506767078e-04,-8.092987508730741832e-04,7.445040204855565011e-04,-5.602927310797602389e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-7.707430644919439390e-03,-7.908233479457054110e-04,-7.980676125720714787e-04,-8.093977842396811190e-04,7.445976132272470304e-04,-6.597411574086504285e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-7.707366118403535457e-03,-7.906609780005018680e-04,-7.981211877196974771e-04,-8.094815651747606401e-04,7.446773732304280214e-04,-7.434797780714232207e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,-7.707302769654983052e-03,-7.905057997540821269e-04,-7.981689039034435551e-04,-8.095524479512594771e-04,7.447453423547448128e-04,-8.139849920465852141e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,-7.707240512924260108e-03,-7.903575288650711980e-04,-7.982113565904783419e-04,-8.096124280151543789e-04,7.448032622806733533e-04,-8.733526776318048052e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,-7.707179288877641192e-03,-7.902158886437297101e-04,-7.982490905780650209e-04,-8.096631942078452975e-04,7.448526180014413117e-04,-9.233513444605989387e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-7.707119051255768849e-03,-7.900806085466156306e-04,-7.982826019562350595e-04,-8.097061744082260232e-04,7.448946753543399029e-04,-9.654703184185244496e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,-7.707059761348345958e-03,-7.899514240446705790e-04,-7.983123407764537369e-04,-8.097425750186925059e-04,7.449305132370297915e-04,-1.000962271778231072e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,-7.707001385522637901e-03,-7.898280770384400948e-04,-7.983387140625933416e-04,-8.097734148670497449e-04,7.449610511678592681e-04,-1.030880088476942738e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,-7.706943893971421149e-03,-7.897103164212053179e-04,-7.983620889461727444e-04,-8.097995541537067986e-04,7.449870728153199775e-04,-1.056108431627555988e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,-7.706887259970891975e-03,-7.895978986095504408e-04,-7.983827957967807275e-04,-8.098217190701438800e-04,7.450092460637316007e-04,-1.077390555214987539e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,-7.706831459371209399e-03,-7.894905879695400313e-04,-7.984011312712455165e-04,-8.098405226762915013e-04,7.450281401157581983e-04,-1.095350954610358592e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,-7.706776470208504329e-03,-7.893881571187798176e-04,-7.984173612361937858e-04,-8.098564825692010360e-04,7.450442400663972531e-04,-1.110514435840312406e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,-7.706722272391360387e-03,-7.892903871083298750e-04,-7.984317235373923800e-04,-8.098700358144029533e-04,7.450579593221027998e-04,-1.123322135660683679e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,-7.706668847439852518e-03,-7.891970674981452563e-04,-7.984444306010376156e-04,-8.098815515510430444e-04,7.450696501844744071e-04,-1.134144963468265986e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,-7.706616178265282210e-03,-7.891079963427300456e-04,-7.984556718598907451e-04,-8.098913416255906382e-04,7.450796128707572359e-04,-1.143294872978610523e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,-7.706564248983110987e-03,-7.890229801035881412e-04,-7.984656160024969970e-04,-8.098996695581270333e-04,7.450881032028661534e-04,-1.151034312039438650e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,-7.706513044753593965e-03,-7.889418335036246614e-04,-7.984744130475096872e-04,-8.099067581003707760e-04,7.450953391620466267e-04,-1.157584145433831000e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,-7.706462551645839980e-03,-7.888643793367471416e-04,-7.984821962478815417e-04,-8.099127956055598206e-04,7.451015064768783070e-04,-1.163130298822528320e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
