time,port_target_error_x_mm,port_target_error_y_mm,port_target_error_z_mm,plug_tip_error_x_mm,plug_tip_error_y_mm,plug_tip_error_z_mm,port_marker_camera_count,plug_marker_camera_count
0.000000000000000000e+00,-3.272007553248301726e-03,1.001111192797110583e-01,-1.118845508831789459e-01,-1.431377941307376833e+00,4.425518691854035680e-01,1.506271530764546895e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000021e-02,5.728926528431876886e-01,1.232780977555858470e-02,-8.786809333033440694e-01,3.640414063660335486e-02,-2.746484030811680022e-01,-5.112682173202820479e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000042e-02,6.001261829290255312e-01,-4.309297006387380335e-01,2.991240577515652532e-01,-2.181216725807844092e-02,8.680268904204258007e-01,1.285288777230664259e+00,3.000000000000000000e+00,2.000000000000000000e+00
2.999999999999999889e-02,1.367377033149458354e+00,2.221717671019862728e-01,2.787184251396013224e-02,8.133836858559839733e-01,2.774712081667352059e-01,-3.025949772694769280e-01,3.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000083e-02,8.155860319986329987e-01,7.343786415513475774e-01,4.823694793724131458e-01,1.561094954823649683e-01,-3.311077382915916800e-01,5.832756368816527370e-01,3.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000278e-02,4.420640642498613326e-01,7.366943704315565000e-01,2.070801007008071792e-01,-2.085305595665165601e-01,-3.028658054998190075e-01,1.196266306893623010e+00,3.000000000000000000e+00,2.000000000000000000e+00
5.999999999999999778e-02,2.455101915695007131e-01,2.063128843703965209e-01,7.332947002315348684e-01,-6.294838332946139925e-01,-1.074493542164267623e+00,4.059313904967165598e-01,3.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000666e-02,-1.350628345825333199e-02,2.863981450501595916e-02,2.384716698959898906e-01,1.307343736353161479e+00,-9.624042000548338471e-01,-8.510784953149608256e-01,3.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000167e-02,-8.329958119528413363e-01,6.775760993741886118e-01,6.197444721545153357e-02,3.448527589874628152e-01,1.006506559517228450e+00,-9.502491836226312216e-01,3.000000000000000000e+00,2.000000000000000000e+00
8.999999999999999667e-02,7.939150607806644278e-01,-2.888598589519397741e-01,2.010294277020929776e+00,2.430758681697953172e-01,9.747612305615604988e-01,-1.800670897500133982e+00,3.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000056e-01,5.113744106113871091e-02,2.897503934153888849e-01,1.329209634943762097e-01,-5.748872288919848472e-01,3.838062985106471814e-02,-3.545868408993957388e-02,3.000000000000000000e+00,2.000000000000000000e+00
1.100000000000000006e-01,4.579745770229987079e-01,1.272279195821568454e+00,8.702369318790426078e-01,2.188670572584316965e-01,1.532998558828047031e-01,9.314186927307233077e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.199999999999999956e-01,3.046964730543111344e-01,2.433194418566264616e-01,-1.025311144493556981e+00,4.328472795450677424e-01,-5.914772922384625709e-01,-3.459707771513720331e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.300000000000000044e-01,-4.804640829456502393e-01,4.337594506034769815e-01,-4.872519309907508145e-01,-2.611961513864502482e-01,1.238260197306551014e-01,-1.054042203253446885e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.400000000000000133e-01,-4.479826663160851874e-01,-1.368755218681294572e+00,-4.526484895184257340e-02,1.111481226949290191e+00,8.765854769637315691e-01,-4.915624192292078476e-02,3.000000000000000000e+00,2.000000000000000000e+00
1.499999999999999944e-01,4.602880819597199302e-02,-6.277428614605007340e-01,1.628435866956379208e+00,-8.506718912270061494e-01,-1.133694146471797559e-01,-1.385656982055838427e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.600000000000000033e-01,5.728022345706795804e-01,-1.421180213134753956e-02,1.382980403054623331e+00,3.166318738241635788e-01,-8.233353407872123775e-01,7.017728642859655253e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.700000000000000122e-01,-7.995270533453086026e-01,-1.149459165682542583e+00,4.831667944626971689e-04,-2.025581572251689000e-01,1.733356331612923018e+00,1.804515617820356965e-02,3.000000000000000000e+00,2.000000000000000000e+00
1.799999999999999933e-01,-2.133182605342232030e-01,-1.553155310485221374e+00,-2.152424682445586157e-01,-1.293746476030227521e+00,1.822843803188090028e-01,-4.103935431871708062e-01,3.000000000000000000e+00,2.000000000000000000e+00
1.900000000000000022e-01,-1.302277305525456619e-01,2.679127267018466263e-01,4.746957861678779977e-02,7.358247687628827194e-01,-4.787106607423430304e-01,-1.091374951007750838e+00,3.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000111e-01,-3.315869077483712957e-01,2.157101388939319797e-01,5.805282187735238963e-01,1.118705207871689700e+00,-5.896560075979717652e-01,-2.358362115546519533e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.099999999999999922e-01,3.442117512403031210e-01,7.772935672676339891e-01,6.674262953988430169e-01,5.434119823699290475e-01,1.987370609551897260e-01,1.119311023919378201e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.200000000000000011e-01,-1.762244901727105795e-01,-3.727141839725556238e-01,5.896976850205959408e-02,-1.119867543409619470e+00,-2.040635477503771611e-01,4.496745402202684261e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.300000000000000100e-01,-1.234168821278608386e+00,7.477725426576764534e-01,-1.170244208106296924e-01,2.476871813333336725e-01,4.228260912431669460e-01,1.564514186507603988e+00,3.000000000000000000e+00,2.000000000000000000e+00
2.399999999999999911e-01,-1.141078956393093424e+00,1.381537486318418217e+00,-3.888321644096581764e-01,-1.277214066058851571e-01,7.257249934424780946e-01,-2.072143277330740219e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.500000000000000000e-01,-5.202789362993981426e-01,3.369386697655851748e-01,-8.729091483667961171e-01,4.506272214979123447e-01,1.237327394709830664e+00,1.442692725146521582e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.600000000000000089e-01,2.094119761031215665e-01,8.603346587295890302e-01,-3.981811527057343980e-01,6.554701733825774035e-01,1.666933845039242357e-01,-8.068676593571133537e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.700000000000000178e-01,5.687960405521691465e-01,6.767901563882183780e-01,-1.380030905071549796e+00,-1.150100236988055302e+00,6.352628652855352165e-01,4.764720384574649970e-01,3.000000000000000000e+00,2.000000000000000000e+00
2.800000000000000266e-01,6.068828321576791307e-01,5.970986569752145812e-01,-2.811171358864106296e-01,-4.851813919590219903e-01,1.052476680035219214e+00,-5.308543759093842240e-01,3.000000000000000000e+00,2.000000000000000000e+00
