time,plug_tip_x,plug_tip_y,plug_tip_z,port_target_x,port_target_y,port_target_z,error_x,error_y,error_z,error_axial,error_lateral,error_norm,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,base_x,base_y,base_yaw,right_tcp_force,right_actual_j1,right_actual_j2,right_actual_j3,right_actual_j4,right_actual_j5,right_actual_j6,right_target_j1,right_target_j2,right_target_j3,right_target_j4,right_target_j5,right_target_j6
0.000000000000000000e+00,2.340514645195469201e-01,3.910243909785867666e-01,8.661996391071465906e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514645195468828e-01,1.502439097864838313e-02,-1.780036089285341738e-02,-1.920514645195499914e-01,2.329345771228313530e-02,1.934589108733373586e-01,2.820807766339398781e-01,-1.317421771274832065e-01,9.653366532379402676e-01,-4.517159284799703300e-01,-1.317421835192493229e-01,9.653360447721563986e-01,0.000000000000000000e+00,-4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.707788850581224517e-03,-7.917548696209535716e-04,-7.976875864154312368e-04,-8.086869565516041766e-04,7.439369804576383095e-04,6.058588634038183006e-09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.340514646486615558e-01,3.910243913181591369e-01,8.661996427685092481e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514646486615185e-01,1.502439131822075336e-02,-1.780035723149075988e-02,-1.920514646486646271e-01,2.329345513337424678e-02,1.934589106909986589e-01,2.820807036221488762e-01,-1.316214824990067367e-01,9.653366356485998390e-01,-4.517160014400286028e-01,-1.316214885857351913e-01,9.653360271641028278e-01,6.692311286146145375e-12,-4.498793424910391692e-01,-4.817585975494685482e-12,0.000000000000000000e+00,-7.707707316188945959e-03,-7.915511698658590474e-04,-7.977810693312931047e-04,-8.088799257159817128e-04,7.441142253975846412e-04,-1.360343352836155522e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.340514650383763995e-01,3.910243916910725592e-01,8.661996470555145544e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514650383763622e-01,1.502439169113417572e-02,-1.780035294448545358e-02,-1.920514650383794708e-01,2.329345209786819193e-02,1.934589107123876328e-01,2.820806327668152758e-01,-1.312622905730392309e-01,9.653366234181166572e-01,-4.517160722506324833e-01,-1.312622964537880077e-01,9.653360148865482993e-01,6.055387463050168669e-12,-4.495201841107614449e-01,-4.566913377461775437e-12,0.000000000000000000e+00,-7.707633699431583156e-03,-7.913567089901963085e-04,-7.978650205323954778e-04,-8.090433550715253087e-04,7.442653614403232313e-04,-3.021196700333002951e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.340514655309623160e-01,3.910243920474165691e-01,8.661996513188596758e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514655309622787e-01,1.502439204747818557e-02,-1.780034868114033220e-02,-1.920514655309653873e-01,2.329344906975578527e-02,1.934589108367895660e-01,2.820805639716631452e-01,-1.306688207660322565e-01,9.653366166356301958e-01,-4.517161410069831518e-01,-1.306688264797313259e-01,9.653360080597634951e-01,5.491055988425537897e-12,-4.489267461218534039e-01,-4.259738524671829965e-12,0.000000000000000000e+00,-7.707563959934316672e-03,-7.911708717057563001e-04,-7.979402482776601704e-04,-8.091816929959878141e-04,7.443942029532969653e-04,-4.422211902783393154e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,2.340514660283213866e-01,3.910243923602101934e-01,8.661996551768529340e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514660283213493e-01,1.502439236027180991e-02,-1.780034482314707400e-02,-1.920514660283244579e-01,2.329344632331461704e-02,1.934589109998446077e-01,2.820804971993942090e-01,-1.298452936037490790e-01,9.653366147856669022e-01,-4.517162077458648506e-01,-1.298452991646253385e-01,9.653360061795756009e-01,4.982301439818594029e-12,-4.481032497785089053e-01,-3.936738417536060895e-12,0.000000000000000000e+00,-7.707496494904924646e-03,-7.909932060932246605e-04,-7.980075316506767078e-04,-8.092987508730741832e-04,7.445040204855565011e-04,-5.602927310797602389e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.340514664758919228e-01,3.910243926183653573e-01,8.661996584447755332e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514664758918855e-01,1.502439261842697382e-02,-1.780034155522447481e-02,-1.920514664758949941e-01,2.329344399255079204e-02,1.934589111635230674e-01,2.820804324444561861e-01,-1.287959300444441735e-01,9.653366171979546051e-01,-4.517162724724055334e-01,-1.287959354562300818e-01,9.653360085786621969e-01,4.520933027564922221e-12,-4.470539163349234180e-01,-3.617390640821814121e-12,0.000000000000000000e+00,-7.707430644919439390e-03,-7.908233479457054110e-04,-7.980676125720714787e-04,-8.093977842396811190e-04,7.445976132272470304e-04,-6.597411574086504285e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,2.340514668489792616e-01,3.910243928209763964e-01,8.661996610717738188e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514668489792243e-01,1.502439282103801288e-02,-1.780033892822618924e-02,-1.920514668489823329e-01,2.329344211574128215e-02,1.934589113079187017e-01,2.820803697118156594e-01,-1.275249512144442099e-01,9.653366232114212186e-01,-4.517163351811875893e-01,-1.275249564765973120e-01,9.653360145955903748e-01,4.102034277327227906e-12,-4.457829670452939652e-01,-3.311098939017611963e-12,0.000000000000000000e+00,-7.707366118403535457e-03,-7.906609780005018680e-04,-7.981211877196974771e-04,-8.094815651747606401e-04,7.446773732304280214e-04,-7.434797780714232207e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.340514671419652859e-01,3.910243929730038426e-01,8.661996630897981220e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514671419652486e-01,1.502439297306545907e-02,-1.780033691020188602e-02,-1.920514671419683572e-01,2.329344067166980170e-02,1.934589114248996267e-01,2.820803090058764950e-01,-1.260365783062382672e-01,9.653366322283348788e-01,-4.517163958673293678e-01,-1.260365834166213284e-01,9.653360236311079312e-01,3.721899015008833102e-12,-4.442946231638190691e-01,-3.022288825464611525e-12,0.000000000000000000e+00,-7.707302769654983052e-03,-7.905057997540821269e-04,-7.981689039034435551e-04,-8.095524479512594771e-04,7.447453423547448128e-04,-8.139849920465852141e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,2.340514673603021900e-01,3.910243930822184799e-01,8.661996645753775592e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514673603021527e-01,1.502439308228009640e-02,-1.780033542462244878e-02,-1.920514673603052613e-01,2.329343960686659429e-02,1.934589115134403292e-01,2.820802503253639903e-01,-1.243350325391004568e-01,9.653366437268988687e-01,-4.517164545316292856e-01,-1.243350374951276427e-01,9.653360351616047108e-01,3.377303764836463233e-12,-4.425931059446990834e-01,-2.752827745436098429e-12,0.000000000000000000e+00,-7.707240512924260108e-03,-7.903575288650711980e-04,-7.982113565904783419e-04,-8.096124280151543789e-04,7.448032622806733533e-04,-8.733526776318048052e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,2.340514675149192869e-01,3.910243931571868448e-01,8.661996656230204206e-01,4.200000000000003730e-02,3.759999999999383835e-01,8.840000000000000080e-01,1.920514675149192496e-01,1.502439315724846125e-02,-1.780033437697958743e-02,-1.920514675149223582e-01,2.329343885463591377e-02,1.934589115763601652e-01,2.820801936614459327e-01,-1.224245351437803636e-01,9.653366572587579464e-01,-4.517165111824650303e-01,-1.224245399429024078e-01,9.653360487369534448e-01,3.065273324325102030e-12,-4.406826366421358609e-01,-2.503218830038359574e-12,0.000000000000000000e+00,-7.707179288877641192e-03,-7.902158886437297101e-04,-7.982490905780650209e-04,-8.096631942078452975e-04,7.448526180014413117e-04,-9.233513444605989387e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
